DATE,DGS30
1/3/2012,2.98
1/4/2012,3.03
1/5/2012,3.06
1/6/2012,3.02
1/9/2012,3.02
1/10/2012,3.04
1/11/2012,2.96
1/12/2012,2.97
1/13/2012,2.91
1/16/2012,.
1/17/2012,2.89
1/18/2012,2.96
1/19/2012,3.05
1/20/2012,3.1
1/23/2012,3.15
1/24/2012,3.15
1/25/2012,3.13
1/26/2012,3.1
1/27/2012,3.07
1/30/2012,2.99
1/31/2012,2.94
2/1/2012,3.01
2/2/2012,3.01
2/3/2012,3.13
2/6/2012,3.08
2/7/2012,3.14
2/8/2012,3.14
2/9/2012,3.2
2/10/2012,3.11
2/13/2012,3.14
2/14/2012,3.06
2/15/2012,3.09
2/16/2012,3.14
2/17/2012,3.16
2/20/2012,.
2/21/2012,3.2
2/22/2012,3.15
2/23/2012,3.13
2/24/2012,3.1
2/27/2012,3.04
2/28/2012,3.07
2/29/2012,3.08
3/1/2012,3.15
3/2/2012,3.11
3/5/2012,3.13
3/6/2012,3.08
3/7/2012,3.12
3/8/2012,3.18
3/9/2012,3.19
3/12/2012,3.17
3/13/2012,3.26
3/14/2012,3.43
3/15/2012,3.41
3/16/2012,3.41
3/19/2012,3.48
3/20/2012,3.46
3/21/2012,3.38
3/22/2012,3.37
3/23/2012,3.31
3/26/2012,3.33
3/27/2012,3.29
3/28/2012,3.31
3/29/2012,3.27
3/30/2012,3.35
4/2/2012,3.35
4/3/2012,3.41
4/4/2012,3.37
4/5/2012,3.32
4/6/2012,3.21
4/9/2012,3.18
4/10/2012,3.13
4/11/2012,3.18
4/12/2012,3.22
4/13/2012,3.14
4/16/2012,3.12
4/17/2012,3.15
4/18/2012,3.13
4/19/2012,3.12
4/20/2012,3.12
4/23/2012,3.08
4/24/2012,3.12
4/25/2012,3.15
4/26/2012,3.13
4/27/2012,3.12
4/30/2012,3.12
5/1/2012,3.16
5/2/2012,3.11
5/3/2012,3.12
5/4/2012,3.07
5/7/2012,3.07
5/8/2012,3.03
5/9/2012,3.03
5/10/2012,3.07
5/11/2012,3.02
5/14/2012,2.95
5/15/2012,2.91
5/16/2012,2.9
5/17/2012,2.8
5/18/2012,2.8
5/21/2012,2.8
5/22/2012,2.88
5/23/2012,2.81
5/24/2012,2.86
5/25/2012,2.85
5/28/2012,.
5/29/2012,2.85
5/30/2012,2.72
5/31/2012,2.67
6/1/2012,2.53
6/4/2012,2.56
6/5/2012,2.63
6/6/2012,2.73
6/7/2012,2.75
6/8/2012,2.77
6/11/2012,2.71
6/12/2012,2.77
6/13/2012,2.7
6/14/2012,2.73
6/15/2012,2.7
6/18/2012,2.67
6/19/2012,2.73
6/20/2012,2.72
6/21/2012,2.68
6/22/2012,2.75
6/25/2012,2.69
6/26/2012,2.71
6/27/2012,2.7
6/28/2012,2.67
6/29/2012,2.76
7/2/2012,2.69
7/3/2012,2.74
7/4/2012,.
7/5/2012,2.72
7/6/2012,2.66
7/9/2012,2.62
7/10/2012,2.6
7/11/2012,2.6
7/12/2012,2.57
7/13/2012,2.58
7/16/2012,2.56
7/17/2012,2.59
7/18/2012,2.59
7/19/2012,2.61
7/20/2012,2.55
7/23/2012,2.52
7/24/2012,2.47
7/25/2012,2.46
7/26/2012,2.49
7/27/2012,2.63
7/30/2012,2.58
7/31/2012,2.56
8/1/2012,2.6
8/2/2012,2.55
8/3/2012,2.65
8/6/2012,2.65
8/7/2012,2.72
8/8/2012,2.75
8/9/2012,2.78
8/10/2012,2.74
8/13/2012,2.74
8/14/2012,2.82
8/15/2012,2.9
8/16/2012,2.96
8/17/2012,2.93
8/20/2012,2.93
8/21/2012,2.9
8/22/2012,2.82
8/23/2012,2.79
8/24/2012,2.79
8/27/2012,2.76
8/28/2012,2.75
8/29/2012,2.77
8/30/2012,2.75
8/31/2012,2.68
9/3/2012,.
9/4/2012,2.69
9/5/2012,2.7
9/6/2012,2.8
9/7/2012,2.81
9/10/2012,2.83
9/11/2012,2.84
9/12/2012,2.92
9/13/2012,2.95
9/14/2012,3.09
9/17/2012,3.03
9/18/2012,3
9/19/2012,2.97
9/20/2012,2.96
9/21/2012,2.95
9/24/2012,2.91
9/25/2012,2.86
9/26/2012,2.79
9/27/2012,2.83
9/28/2012,2.82
10/1/2012,2.81
10/2/2012,2.81
10/3/2012,2.82
10/4/2012,2.89
10/5/2012,2.96
10/8/2012,.
10/9/2012,2.93
10/10/2012,2.89
10/11/2012,2.86
10/12/2012,2.83
10/15/2012,2.85
10/16/2012,2.91
10/17/2012,2.98
10/18/2012,3.02
10/19/2012,2.94
10/22/2012,2.95
10/23/2012,2.91
10/24/2012,2.93
10/25/2012,2.98
10/26/2012,2.92
10/29/2012,2.87
10/30/2012,.
10/31/2012,2.85
11/1/2012,2.89
11/2/2012,2.91
11/5/2012,2.88
11/6/2012,2.92
11/7/2012,2.83
11/8/2012,2.77
11/9/2012,2.75
11/12/2012,.
11/13/2012,2.72
11/14/2012,2.73
11/15/2012,2.72
11/16/2012,2.73
11/19/2012,2.76
11/20/2012,2.82
11/21/2012,2.83
11/22/2012,.
11/23/2012,2.83
11/26/2012,2.8
11/27/2012,2.79
11/28/2012,2.79
11/29/2012,2.79
11/30/2012,2.81
12/3/2012,2.8
12/4/2012,2.78
12/5/2012,2.78
12/6/2012,2.76
12/7/2012,2.81
12/10/2012,2.8
12/11/2012,2.83
12/12/2012,2.9
12/13/2012,2.9
12/14/2012,2.87
12/17/2012,2.94
12/18/2012,3
12/19/2012,2.99
12/20/2012,2.98
12/21/2012,2.93
12/24/2012,2.94
12/25/2012,.
12/26/2012,2.94
12/27/2012,2.89
12/28/2012,2.88
12/31/2012,2.95
1/1/2013,.
1/2/2013,3.04
1/3/2013,3.12
1/4/2013,3.1
1/7/2013,3.1
