DATE,CUSR0000SETB01
1/1/2012,306.17
2/1/2012,316.625
3/1/2012,319.198
4/1/2012,319.414
5/1/2012,303.692
6/1/2012,291.49
7/1/2012,287.505
8/1/2012,310.365
9/1/2012,326.789
10/1/2012,332.699
11/1/2012,315.264
12/1/2012,306.338
1/1/2013,306.734
2/1/2013,329.253
3/1/2013,310.442
4/1/2013,295.206
5/1/2013,293.131
6/1/2013,298.112
7/1/2013,298.754
8/1/2013,303.409
9/1/2013,297.39
10/1/2013,295.64
11/1/2013,297.183
12/1/2013,303.304
1/1/2014,308.4
2/1/2014,305.007
3/1/2014,300.141
4/1/2014,305.367
5/1/2014,301.296
6/1/2014,302.293
7/1/2014,299.785
8/1/2014,294.803
9/1/2014,287.003
10/1/2014,278.463
11/1/2014,262.282
12/1/2014,238.491
1/1/2015,199.553
2/1/2015,206.901
3/1/2015,214.684
4/1/2015,211.577
5/1/2015,225.281
6/1/2015,230.871
7/1/2015,231.775
8/1/2015,225.725
9/1/2015,201.935
10/1/2015,199.315
11/1/2015,198.984
12/1/2015,190.765
1/1/2016,181.445
2/1/2016,162.727
3/1/2016,175.164
4/1/2016,184.762
5/1/2016,187.627
6/1/2016,196.44
7/1/2016,185.486
8/1/2016,183.715
9/1/2016,189.766
10/1/2016,197.788
11/1/2016,199.22
12/1/2016,206.244
1/1/2017,217.892
2/1/2017,213.626
3/1/2017,210.69
4/1/2017,209.074
5/1/2017,197.848
6/1/2017,195.797
7/1/2017,191.889
8/1/2017,203.585
9/1/2017,228.252
10/1/2017,218.99
11/1/2017,228.908
12/1/2017,228.888
1/1/2018,235.641
2/1/2018,240.4
3/1/2018,234.179
4/1/2018,237.076
5/1/2018,241.533
6/1/2018,243.88
7/1/2018,241.052
8/1/2018,245.227
9/1/2018,249.15
10/1/2018,253.947
11/1/2018,239.9
12/1/2018,223.423
1/1/2019,210.752
2/1/2019,218.146
3/1/2019,233.365
4/1/2019,244.583
5/1/2019,241.074
6/1/2019,231.403
7/1/2019,233.809
8/1/2019,228.391
9/1/2019,228.787
10/1/2019,234.773
11/1/2019,236.587
12/1/2019,240.708
1/1/2020,236.591
2/1/2020,229.98
3/1/2020,209.903
4/1/2020,166.244
5/1/2020,159.902
6/1/2020,177.853
7/1/2020,186.758
8/1/2020,190.327
9/1/2020,193.476
10/1/2020,192.15
11/1/2020,190.381
12/1/2020,203.777
1/1/2021,215.529
2/1/2021,233.202
3/1/2021,257.289
4/1/2021,248.826
5/1/2021,250.257
6/1/2021,258.638
7/1/2021,265.072
8/1/2021,271.71
9/1/2021,274.721
10/1/2021,287.303
11/1/2021,300.351
12/1/2021,304.315
1/1/2022,301.791
2/1/2022,321.849
3/1/2022,380.763
4/1/2022,357.377
5/1/2022,372.063
6/1/2022,413.606
7/1/2022,381.71
8/1/2022,341.383
9/1/2022,324.646
10/1/2022,337.609
