DATE,GFDEGDQ188S
1/1/2012,97.12296
4/1/2012,97.82754
7/1/2012,98.44787
10/1/2012,100.07517
1/1/2013,100.85592
4/1/2013,100.23216
7/1/2013,98.97766
10/1/2013,100.13427
1/1/2014,102.6653
4/1/2014,100.97295
7/1/2014,100.45563
10/1/2014,101.61828
1/1/2015,100.89325
4/1/2015,99.77075
7/1/2015,99.146
10/1/2015,103.21895
1/1/2016,104.55696
4/1/2016,104.13706
7/1/2016,104.25015
10/1/2016,105.31835
1/1/2017,103.64643
4/1/2017,102.79752
7/1/2017,103.4915
10/1/2017,103.0058
1/1/2018,104.63475
4/1/2018,103.54111
7/1/2018,104.00623
10/1/2018,105.54691
1/1/2019,104.82935
4/1/2019,103.52961
7/1/2019,105.51538
10/1/2019,106.88663
1/1/2020,107.827
4/1/2020,134.83528
7/1/2020,126.1345
10/1/2020,127.84231
1/1/2021,126.07672
4/1/2021,123.78842
7/1/2021,120.71513
10/1/2021,121.63566
1/1/2022,122.87943
4/1/2022,121.071
